Loan_ID,Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Credit_Score,Type,Currency,Lender_Name,Lender_Min_Credit_Score,Restricted_Type,Favorite_Type,Lender_Currency
LP001100,Male,No,3+,Graduate,No,320,360,1,Rural,N,580,Real Estate Investment Trusts,Yuan Renminbi,"Schamberger, Grant and Boyer",797,Marine Transportation,Real Estate Investment Trusts,Yuan Renminbi
LP001106,Male,Yes,0,Graduate,No,,360,1,Urban,Y,530,Fluid Controls,Dram,"Hilpert, O'Connell and Waters",366,EDP Services,Fluid Controls,Dram
LP001109,Male,Yes,0,Graduate,No,100,,0,Urban,N,570,Major Pharmaceuticals,Dirham,"Abernathy, Kreiger and Murray",355,Telecommunications Equipment,Major Pharmaceuticals,Dirham
LP001112,Female,Yes,0,Graduate,No,144,360,1,Semiurban,Y,640,Investment Managers,Euro,"Ryan, Roberts and Waters",731,Computer Software: Prepackaged Software,Investment Managers,Euro
LP001114,Male,No,0,Graduate,No,184,360,1,Urban,Y,690,Specialty Insurers,Krona,"Schumm, Von and Kirlin",568,RETAIL: Building Materials,Specialty Insurers,Krona
LP001116,Male,No,0,Not Graduate,No,110,360,1,Semiurban,Y,740,Real Estate Investment Trusts,Koruna,"Olson, Hane and Rempel",351,Major Banks,Real Estate Investment Trusts,Koruna
LP001119,Male,No,0,Graduate,No,80,360,1,Urban,N,790,Major Chemicals,Peso,"Hudson, Koss and Kris",769,n/a,Major Chemicals,Peso
LP001120,Male,No,0,Graduate,No,47,360,1,Urban,Y,830,n/a,Yuan Renminbi,Prohaska-Koepp,786,Investment Bankers/Brokers/Service,n/a,Yuan Renminbi
LP001123,Male,Yes,0,Graduate,No,75,360,,Urban,Y,870,Miscellaneous,Ruble,Kiehn-VonRueden,741,EDP Services,Miscellaneous,Ruble
LP001131,Male,Yes,0,Graduate,No,134,360,1,Semiurban,Y,301,Computer Software: Prepackaged Software,Peso,Effertz-Hudson,312,Business Services,Computer Software: Prepackaged Software,Peso
LP001136,Male,Yes,0,Not Graduate,Yes,96,,1,Urban,Y,351,EDP Services,Euro,Nader-Kuhn,324,n/a,EDP Services,Euro
LP001137,Female,No,0,Graduate,No,88,,1,Urban,Y,401,n/a,Peso,"Steuber, Effertz and Hermiston",512,Homebuilding,n/a,Peso
LP001138,Male,Yes,1,Graduate,No,44,360,1,Urban,Y,451,Major Banks,Rand,Gibson LLC,404,Major Pharmaceuticals,Major Banks,Rand
LP001144,Male,Yes,0,Graduate,No,144,360,1,Urban,Y,501,Major Pharmaceuticals,Dong,Abshire-Bechtelar,798,Medical/Nursing Services,Major Pharmaceuticals,Dong
LP001146,Female,Yes,0,Graduate,No,120,360,0,Urban,N,551,Major Banks,Yuan Renminbi,"Dibbert, Paucek and Price",905,Other Consumer Services,Major Banks,Yuan Renminbi
LP001151,Female,No,0,Graduate,No,144,360,1,Semiurban,Y,601,Biotechnology: Commercial Physical & Biological Resarch,Ruble,"Smitham, Carter and Torphy",422,EDP Services,Biotechnology: Commercial Physical & Biological Resarch,Ruble
LP001155,Female,Yes,0,Not Graduate,No,100,360,1,Semiurban,Y,651,Business Services,Rupiah,Graham-Schimmel,614,n/a,Business Services,Rupiah
LP001157,Female,No,0,Graduate,No,120,360,1,Semiurban,Y,701,n/a,Peso,Ward Inc,882,Real Estate Investment Trusts,n/a,Peso
LP001164,Female,No,0,Graduate,No,112,360,1,Semiurban,N,751,Packaged Foods,Yuan Renminbi,Berge Group,495,Investment Bankers/Brokers/Service,Packaged Foods,Yuan Renminbi
LP001179,Male,Yes,2,Graduate,No,134,360,1,Urban,N,801,EDP Services,Hryvnia,Schamberger-Denesik,701,Coal Mining,EDP Services,Hryvnia
LP001186,Female,Yes,1,Graduate,Yes,286,360,0,Urban,N,851,Newspapers/Magazines,Afghani,Rippin-Waters,711,Finance: Consumer Services,Newspapers/Magazines,Afghani
LP001194,Male,Yes,2,Graduate,No,97,360,1,Semiurban,Y,781,Investment Bankers/Brokers/Service,Peso,Collins Group,416,Electronic Components,Investment Bankers/Brokers/Service,Peso
LP001195,Male,Yes,0,Graduate,No,96,360,1,Semiurban,Y,621,Semiconductors,Zloty,"Hoppe, Stehr and Effertz",667,Major Pharmaceuticals,Semiconductors,Zloty
LP001197,Male,Yes,0,Graduate,No,135,360,1,Rural,N,581,Biotechnology: Biological Products (No Diagnostic Substances),Euro,Turcotte LLC,892,n/a,Biotechnology: Biological Products (No Diagnostic Substances),Euro
LP001198,Male,Yes,1,Graduate,No,180,360,1,Urban,Y,570,Other Pharmaceuticals,Koruna,Ward LLC,457,Precious Metals,Other Pharmaceuticals,Koruna
LP001199,Male,Yes,2,Not Graduate,No,144,360,1,Urban,Y,640,Major Chemicals,Vatu,Yundt-Hermann,537,Movies/Entertainment,Major Chemicals,Vatu
LP001205,Male,Yes,0,Graduate,No,120,360,1,Urban,Y,690,Shoe Manufacturing,Peso,"Morar, Cremin and Towne",472,Major Pharmaceuticals,Shoe Manufacturing,Peso
LP001206,Male,Yes,3+,Graduate,No,99,360,1,Urban,Y,740,Services-Misc. Amusement & Recreation,Euro,Streich and Sons,853,Department/Specialty Retail Stores,Services-Misc. Amusement & Recreation,Euro
LP001207,Male,Yes,0,Not Graduate,Yes,165,180,0,Rural,N,790,Building Products,Koruna,Kshlerin-Daugherty,401,n/a,Building Products,Koruna
LP001213,Male,Yes,1,Graduate,No,,360,0,Rural,N,830,Auto Parts:O.E.M.,Dollar,Smitham LLC,487,Major Banks,Auto Parts:O.E.M.,Dollar
LP001222,Female,No,0,Graduate,No,116,360,0,Semiurban,N,870,Major Banks,Baht,Fritsch-Ratke,632,Department/Specialty Retail Stores,Major Banks,Baht
LP001225,Male,Yes,0,Graduate,No,258,360,1,Semiurban,N,301,Major Banks,Lev,"Jerde, Bosco and Adams",751,Plastic Products,Major Banks,Lev
LP001228,Male,No,0,Not Graduate,No,126,180,0,Urban,N,351,Major Banks,Lira,"Mitchell, Halvorson and Torp",891,n/a,Major Banks,Lira
LP001233,Male,Yes,1,Graduate,No,312,360,1,Urban,Y,401,Major Pharmaceuticals,Euro,"Osinski, Bailey and Murphy",545,Real Estate Investment Trusts,Major Pharmaceuticals,Euro
LP001238,Male,Yes,3+,Not Graduate,Yes,125,60,1,Urban,Y,451,"Computer Software: Programming, Data Processing",Yuan Renminbi,"Prosacco, Torphy and Gutkowski",701,n/a,"Computer Software: Programming, Data Processing",Yuan Renminbi
LP001241,Female,No,0,Graduate,No,136,360,0,Semiurban,N,501,Biotechnology: Biological Products (No Diagnostic Substances),Ruble,Wiegand-Muller,809,n/a,Biotechnology: Biological Products (No Diagnostic Substances),Ruble
LP001243,Male,Yes,0,Graduate,No,172,360,1,Urban,Y,551,"Computer Software: Programming, Data Processing",Yuan Renminbi,Davis LLC,645,Diversified Commercial Services,"Computer Software: Programming, Data Processing",Yuan Renminbi
LP001245,Male,Yes,2,Not Graduate,Yes,97,360,1,Semiurban,Y,350,Major Banks,Euro,Ryan-Mraz,536,Major Banks,Major Banks,Euro
LP001248,Male,No,0,Graduate,No,81,300,1,Semiurban,Y,400,Hospital/Nursing Management,Yuan Renminbi,Kunde Inc,399,Other Specialty Stores,Hospital/Nursing Management,Yuan Renminbi
LP001250,Male,Yes,3+,Not Graduate,No,95,,0,Semiurban,N,450,Marine Transportation,Yuan Renminbi,"Lebsack, Frami and Heidenreich",431,Specialty Chemicals,Marine Transportation,Yuan Renminbi
LP001253,Male,Yes,3+,Graduate,Yes,187,360,1,Semiurban,Y,500,n/a,Euro,Schowalter Group,792,Business Services,n/a,Euro
LP001255,Male,No,0,Graduate,No,113,480,1,Urban,N,550,Steel/Iron Ore,Rupiah,Schiller-Welch,925,Major Banks,Steel/Iron Ore,Rupiah
LP001256,Male,No,0,Graduate,No,176,360,1,Urban,N,600,Industrial Machinery/Components,Yuan Renminbi,Hegmann Group,893,n/a,Industrial Machinery/Components,Yuan Renminbi
LP001259,Male,Yes,1,Graduate,Yes,110,360,1,Urban,N,351,Savings Institutions,Euro,Kshlerin-Kihn,852,Diversified Financial Services,Savings Institutions,Euro
LP001263,Male,Yes,3+,Graduate,No,180,300,0,Semiurban,N,401,Television Services,Manat,Corkery Inc,570,Department/Specialty Retail Stores,Television Services,Manat
LP001264,Male,Yes,3+,Not Graduate,Yes,130,360,,Semiurban,Y,451,Commercial Banks,Real,"Koelpin, Adams and Schmitt",605,Computer Software: Prepackaged Software,Commercial Banks,Real
LP001265,Female,No,0,Graduate,No,111,360,1,Semiurban,Y,501,EDP Services,Dinar,Cruickshank Group,792,Radio And Television Broadcasting And Communications Equipment,EDP Services,Dinar
LP001266,Male,Yes,1,Graduate,Yes,,360,1,Semiurban,Y,551,Business Services,Peso,"Thompson, Schmidt and O'Conner",872,Major Pharmaceuticals,Business Services,Peso
LP001267,Female,Yes,2,Graduate,No,167,360,1,Urban,N,601,Natural Gas Distribution,Dollar,Donnelly-Daniel,524,"Computer Software: Programming, Data Processing",Natural Gas Distribution,Dollar
LP001273,Male,Yes,0,Graduate,No,265,360,,Semiurban,N,651,Industrial Machinery/Components,Yuan Renminbi,"Koepp, Kulas and Lueilwitz",372,EDP Services,Industrial Machinery/Components,Yuan Renminbi
LP001275,Male,Yes,1,Graduate,No,50,240,1,Urban,Y,701,Catalog/Specialty Distribution,Rial,"Bosco, Quigley and Blanda",546,Business Services,Catalog/Specialty Distribution,Rial
LP001279,Male,No,0,Graduate,No,136,360,1,Semiurban,Y,751,Clothing/Shoe/Accessory Stores,Rupiah,"Abshire, Witting and Kohler",766,Broadcasting,Clothing/Shoe/Accessory Stores,Rupiah
LP001280,Male,Yes,2,Not Graduate,No,99,360,,Semiurban,Y,801,Semiconductors,Rupiah,Toy-Hodkiewicz,542,Property-Casualty Insurers,Semiconductors,Rupiah
LP001282,Male,Yes,0,Graduate,No,104,360,1,Semiurban,Y,301,n/a,Real,Gusikowski-Heaney,675,Electronics Distribution,n/a,Real
LP001289,Male,No,0,Graduate,No,210,360,1,Urban,Y,351,Major Pharmaceuticals,Dollar,Rowe-Stokes,742,Major Pharmaceuticals,Major Pharmaceuticals,Dollar
LP001310,Male,Yes,0,Graduate,No,175,360,1,Semiurban,Y,401,Business Services,Euro,McKenzie Inc,550,n/a,Business Services,Euro
LP001316,Male,Yes,0,Graduate,No,131,360,1,Semiurban,Y,451,Finance: Consumer Services,Euro,"Monahan, Greenholt and Kulas",635,Savings Institutions,Finance: Consumer Services,Euro
LP001318,Male,Yes,2,Graduate,No,188,180,1,Semiurban,Y,501,Savings Institutions,Euro,Wiegand Inc,712,n/a,Savings Institutions,Euro
LP001319,Male,Yes,2,Not Graduate,No,81,360,1,Urban,Y,551,Computer Software: Prepackaged Software,Peso,Goyette-Boyle,401,Oil & Gas Production,Computer Software: Prepackaged Software,Peso
LP001322,Male,No,0,Graduate,No,122,360,1,Semiurban,Y,350,n/a,Zloty,"Kautzer, Terry and Streich",848,Steel/Iron Ore,n/a,Zloty
LP001325,Male,No,0,Not Graduate,No,25,120,1,Semiurban,Y,400,Power Generation,Yuan Renminbi,"Volkman, Mayer and Runte",620,Other Specialty Stores,Power Generation,Yuan Renminbi
LP001326,Male,No,0,Graduate,,,360,,Urban,N,450,n/a,Dollar,Von and Sons,519,Investment Bankers/Brokers/Service,n/a,Dollar
LP001327,Female,Yes,0,Graduate,No,137,360,1,Semiurban,Y,500,EDP Services,Koruna,Hahn LLC,428,n/a,EDP Services,Koruna
LP001333,Male,Yes,0,Graduate,No,50,360,1,Semiurban,Y,550,Packaged Foods,Lek,O'Keefe-Altenwerth,301,n/a,Packaged Foods,Lek
LP001334,Male,Yes,0,Not Graduate,No,115,180,1,Semiurban,Y,600,Major Banks,Franc,"VonRueden, Bogisich and Bahringer",631,Telecommunications Equipment,Major Banks,Franc
LP001343,Male,Yes,0,Graduate,No,131,360,1,Semiurban,Y,351,Biotechnology: Biological Products (No Diagnostic Substances),Dinar,"Mann, Swift and Leffler",922,Medical Specialities,Biotechnology: Biological Products (No Diagnostic Substances),Dinar
LP001345,Male,Yes,2,Not Graduate,No,133,180,1,Urban,Y,401,Business Services,Rupiah,Nitzsche-Bogan,615,Semiconductors,Business Services,Rupiah
LP001349,Male,No,0,Graduate,No,151,360,1,Semiurban,Y,451,Electrical Products,Lempira,"Kreiger, Balistreri and Erdman",720,Real Estate Investment Trusts,Electrical Products,Lempira
LP001350,Male,Yes,,Graduate,No,,360,1,Urban,Y,501,Real Estate Investment Trusts,Shilling,"Predovic, Jenkins and Volkman",635,Electric Utilities: Central,Real Estate Investment Trusts,Shilling
LP001356,Male,Yes,0,Graduate,No,,360,1,Semiurban,Y,551,Medical/Dental Instruments,Dollar,Schneider-Kilback,536,Medical Specialities,Medical/Dental Instruments,Dollar
LP001357,Male,,,Graduate,No,160,360,1,Urban,Y,601,Major Banks,Dollar,"Schulist, Murphy and Corwin",517,Savings Institutions,Major Banks,Dollar
LP001367,Male,Yes,1,Graduate,No,100,360,1,Urban,Y,651,Industrial Machinery/Components,Yuan Renminbi,Kris LLC,421,Industrial Machinery/Components,Industrial Machinery/Components,Yuan Renminbi
LP001369,Male,Yes,2,Graduate,No,225,360,1,Urban,Y,701,Biotechnology: Biological Products (No Diagnostic Substances),Peso,Buckridge-Macejkovic,461,n/a,Biotechnology: Biological Products (No Diagnostic Substances),Peso
LP001370,Male,No,0,Not Graduate,,120,360,1,Rural,N,350,Business Services,Peso,"Treutel, Simonis and Schuppe",524,Ophthalmic Goods,Business Services,Peso
LP001379,Male,Yes,2,Graduate,No,216,360,0,Urban,N,400,Industrial Machinery/Components,Euro,Feeney-Baumbach,680,Medical/Dental Instruments,Industrial Machinery/Components,Euro
LP001384,Male,Yes,3+,Not Graduate,No,94,480,1,Semiurban,Y,450,Life Insurance,Ruble,Jerde-Morar,712,Broadcasting,Life Insurance,Ruble
LP001385,Male,No,0,Graduate,No,136,360,1,Urban,Y,500,Biotechnology: Commercial Physical & Biological Resarch,Balboa,West LLC,624,Semiconductors,Biotechnology: Commercial Physical & Biological Resarch,Balboa
LP001387,Female,Yes,0,Graduate,,139,360,1,Semiurban,Y,550,Commercial Banks,Euro,Green-Rath,635,Oil & Gas Production,Commercial Banks,Euro
LP001391,Male,Yes,0,Not Graduate,No,152,,0,Rural,N,600,Industrial Specialties,Yuan Renminbi,O'Hara LLC,801,Major Pharmaceuticals,Industrial Specialties,Yuan Renminbi
LP001392,Female,No,1,Graduate,Yes,,360,1,Semiurban,Y,650,Restaurants,Real,Pouros and Sons,406,Computer Communications Equipment,Restaurants,Real
LP001398,Male,No,0,Graduate,,118,360,1,Semiurban,Y,700,Major Pharmaceuticals,Zloty,"Morissette, Barrows and Armstrong",815,Computer Software: Prepackaged Software,Major Pharmaceuticals,Zloty
LP001401,Male,Yes,1,Graduate,No,185,180,1,Rural,Y,750,Hotels/Resorts,Real,Johnston Inc,351,Medical/Nursing Services,Hotels/Resorts,Real
LP001404,Female,Yes,0,Graduate,No,154,360,1,Semiurban,Y,800,Real Estate Investment Trusts,Yuan Renminbi,"Brekke, Murazik and Yundt",819,Military/Government/Technical,Real Estate Investment Trusts,Yuan Renminbi
LP001405,Male,Yes,1,Graduate,No,85,360,,Urban,Y,850,Air Freight/Delivery Services,Ruble,Ebert-DuBuque,786,Plastic Products,Air Freight/Delivery Services,Ruble
LP001421,Male,Yes,0,Graduate,No,175,360,1,Rural,N,780,Restaurants,Euro,Lang-Trantow,902,n/a,Restaurants,Euro
LP001422,Female,No,0,Graduate,No,259,360,1,Urban,Y,620,Military/Government/Technical,Rupiah,Bayer-Sauer,692,n/a,Military/Government/Technical,Rupiah
LP001426,Male,Yes,,Graduate,No,180,360,1,Rural,Y,580,Major Banks,Yuan Renminbi,Schoen Group,456,n/a,Major Banks,Yuan Renminbi
LP001430,Female,No,0,Graduate,No,44,360,1,Semiurban,Y,530,Specialty Chemicals,Franc,Herman Group,522,Business Services,Specialty Chemicals,Franc
LP001431,Female,No,0,Graduate,No,137,360,0,Semiurban,Y,570,Precious Metals,Euro,Spinka-Kuhlman,688,Plastic Products,Precious Metals,Euro
LP001432,Male,Yes,2,Graduate,No,81,360,1,Semiurban,Y,640,Business Services,Yuan Renminbi,Hartmann-Beatty,791,n/a,Business Services,Yuan Renminbi
LP001439,Male,Yes,0,Not Graduate,No,194,360,1,Rural,Y,690,Major Banks,Dollar,Bartell-Macejkovic,907,Restaurants,Major Banks,Dollar
LP001443,Female,No,0,Graduate,No,93,360,,Rural,Y,740,Oil & Gas Production,Yuan Renminbi,"Pfeffer, Goyette and Beahan",590,Trucking Freight/Courier Services,Oil & Gas Production,Yuan Renminbi
LP001448,,Yes,3+,Graduate,No,370,360,1,Rural,Y,790,Real Estate Investment Trusts,Zloty,Runolfsdottir-Fahey,695,Investment Managers,Real Estate Investment Trusts,Zloty
LP001449,Male,No,0,Graduate,No,,360,1,Rural,Y,830,"Computer Software: Programming, Data Processing",Taka,Schimmel Inc,425,n/a,"Computer Software: Programming, Data Processing",Taka
LP001451,Male,Yes,1,Graduate,Yes,160,180,0,Urban,N,870,Major Banks,Euro,"Roob, Heathcote and Stark",946,n/a,Major Banks,Euro
LP001465,Male,Yes,0,Graduate,No,182,360,,Rural,N,500,n/a,Ringgit,Streich and Sons,630,n/a,n/a,Ringgit
LP001469,Male,No,0,Graduate,Yes,650,480,,Urban,Y,550,Farming/Seeds/Milling,Yen,Mosciski-Barrows,870,Major Pharmaceuticals,Farming/Seeds/Milling,Yen
LP001473,Male,No,0,Graduate,No,74,360,1,Urban,Y,600,Packaged Foods,Pound,"Hammes, Heller and Flatley",356,Business Services,Packaged Foods,Pound
LP001478,Male,No,0,Graduate,No,70,360,1,Semiurban,Y,650,Consumer Electronics/Appliances,Yuan Renminbi,"Howell, Paucek and Smitham",873,n/a,Consumer Electronics/Appliances,Yuan Renminbi
LP001482,Male,Yes,0,Graduate,Yes,25,120,1,Semiurban,Y,700,Major Pharmaceuticals,Lek,"MacGyver, Gorczany and Adams",936,Major Banks,Major Pharmaceuticals,Lek
LP001487,Male,No,0,Graduate,No,102,360,1,Semiurban,Y,750,Advertising,Dollar,"Strosin, Krajcik and Borer",518,Real Estate Investment Trusts,Advertising,Dollar
LP001488,Male,Yes,3+,Graduate,No,290,360,1,Semiurban,N,800,Transportation Services,Zloty,"Schimmel, Koelpin and King",444,Business Services,Transportation Services,Zloty
LP001489,Female,Yes,0,Graduate,No,84,360,1,Rural,N,850,n/a,Naira,Balistreri-Grady,498,n/a,n/a,Naira
LP001491,Male,Yes,2,Graduate,Yes,88,360,1,Urban,Y,780,Forest Products,Real,Torp-Willms,602,Semiconductors,Forest Products,Real
LP001492,Male,No,0,Graduate,No,242,360,0,Semiurban,N,620,Real Estate Investment Trusts,Yuan Renminbi,"Schroeder, Mitchell and Olson",920,Computer Communications Equipment,Real Estate Investment Trusts,Yuan Renminbi
LP001493,Male,Yes,2,Not Graduate,No,129,360,1,Rural,N,580,Engineering & Construction,Sol,Weissnat-Stamm,512,n/a,Engineering & Construction,Sol
LP001497,Male,Yes,2,Graduate,No,185,360,1,Rural,N,530,n/a,Zloty,Kertzmann-Lemke,474,Natural Gas Distribution,n/a,Zloty
LP001498,Male,No,0,Graduate,No,168,360,1,Urban,Y,570,Computer Software: Prepackaged Software,Peso,Gislason and Sons,604,Property-Casualty Insurers,Computer Software: Prepackaged Software,Peso
LP001504,Male,No,0,Graduate,Yes,175,180,1,Semiurban,Y,640,Diversified Commercial Services,Euro,Lowe LLC,863,n/a,Diversified Commercial Services,Euro
LP001507,Male,Yes,0,Graduate,No,122,360,1,Semiurban,Y,690,Home Furnishings,Peso,Pollich-Rolfson,497,Medical/Dental Instruments,Home Furnishings,Peso
LP001508,Male,Yes,2,Graduate,No,187,180,1,Urban,Y,740,Hospital/Nursing Management,Rupiah,"Gorczany, Herman and Marvin",552,"Computer Software: Programming, Data Processing",Hospital/Nursing Management,Rupiah
LP001514,Female,Yes,0,Graduate,No,100,360,1,Semiurban,Y,790,Consumer: Greeting Cards,Franc,Bradtke-Hyatt,910,n/a,Consumer: Greeting Cards,Franc
LP001516,Female,Yes,2,Graduate,No,70,360,1,Urban,Y,830,n/a,Rupiah,"MacGyver, Cormier and Goldner",587,Homebuilding,n/a,Rupiah
LP001518,Male,Yes,1,Graduate,No,30,360,1,Urban,Y,870,Finance: Consumer Services,Peso,Ullrich and Sons,772,Power Generation,Finance: Consumer Services,Peso
LP001519,Female,No,0,Graduate,No,225,360,1,Rural,N,300,Metal Fabrications,Rupiah,Wunsch Group,336,Marine Transportation,Metal Fabrications,Rupiah
LP001520,Male,Yes,0,Graduate,No,125,360,1,Semiurban,Y,350,n/a,Krona,Lang Inc,817,n/a,n/a,Krona
LP001528,Male,No,0,Graduate,No,118,360,0,Rural,N,400,n/a,Peso,Rice Group,797,n/a,n/a,Peso
LP001529,Male,Yes,0,Graduate,Yes,152,360,1,Rural,Y,450,Major Chemicals,Krone,Paucek-Kilback,811,n/a,Major Chemicals,Krone
LP001531,Male,No,0,Graduate,No,244,360,1,Urban,N,500,Semiconductors,Dram,Skiles LLC,347,n/a,Semiconductors,Dram
LP001532,Male,Yes,2,Not Graduate,No,113,360,1,Rural,N,550,Major Chemicals,Yuan Renminbi,"Hilpert, Gutmann and Pouros",879,Clothing/Shoe/Accessory Stores,Major Chemicals,Yuan Renminbi
